               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10439,            0.016988,                   0,           0.0033333,                   1,            0.030893,           0.0077965,            0.079764,            0.013366,                   0,               0.091,               0.001,               0.001
                   1,            0.081683,            0.019877,                   0,             0.30116,                 0.1,             0.27813,            0.072594,            0.062447,            0.014522,                   0,            0.081031,           0.0020307,           0.0020307
                   2,            0.069096,            0.023424,                   0,                   1,             0.47868,             0.89625,             0.37286,            0.050268,            0.014632,                   0,            0.070989,           0.0029888,           0.0029888
                   3,            0.063264,            0.020831,                   0,              0.8243,                 0.8,             0.86563,             0.31697,            0.056534,            0.013052,                   0,            0.060874,           0.0038743,           0.0038743
                   4,            0.058283,            0.020092,                   0,             0.88546,                   1,             0.94955,             0.43554,            0.048838,            0.012596,                   0,            0.050687,           0.0046872,           0.0046872
                   5,            0.055384,             0.02011,                   0,                   1,             0.84875,             0.92726,             0.32368,            0.045544,            0.012244,                   0,            0.040427,           0.0054275,           0.0054275
                   6,            0.054144,            0.019014,                   0,             0.71774,                   1,             0.92833,             0.57201,            0.053446,            0.010655,                   0,            0.030095,           0.0060952,           0.0060952
                   7,            0.053057,            0.018084,                   0,             0.58685,             0.99462,             0.76839,             0.25622,            0.064006,           0.0094863,                   0,             0.01969,           0.0066903,           0.0066903
                   8,            0.052212,            0.019113,                   0,             0.48019,             0.83265,             0.73241,             0.22154,             0.05912,           0.0095368,                   0,           0.0092128,           0.0072128,           0.0072128
                   9,            0.051513,            0.016946,                   0,              0.9918,                   1,               0.995,              0.4231,            0.046586,           0.0099866,                   0,             0.00703,             0.00703,             0.00703
                  10,             0.04647,             0.01638,                   0,              0.5873,                 0.8,             0.68966,             0.43141,            0.052421,           0.0099483,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.044145,            0.016367,                   0,                   1,             0.99889,               0.995,              0.4549,            0.039867,           0.0085746,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.040989,            0.015161,                   0,             0.99505,                   1,               0.995,             0.32456,            0.048379,           0.0078949,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.037237,            0.014789,                   0,                   1,             0.99323,               0.995,             0.71672,            0.028175,           0.0076913,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.034863,            0.014595,                   0,              0.7373,             0.84413,              0.9044,             0.48227,            0.036054,            0.006541,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.035083,            0.013499,                   0,             0.98915,                   1,               0.995,             0.58634,            0.030868,            0.005919,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.032135,            0.012742,                   0,             0.98949,                   1,               0.995,              0.5455,            0.028061,             0.00581,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.030701,            0.010814,                   0,             0.99035,                   1,               0.995,             0.71271,            0.022764,           0.0055388,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.028232,            0.010902,                   0,             0.76801,             0.99363,             0.83654,             0.59911,            0.029181,           0.0051305,                   0,             0.00439,             0.00439,             0.00439
                  19,             0.02908,            0.010201,                   0,             0.99226,                   1,               0.995,             0.77003,            0.021136,           0.0049084,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.025008,            0.010944,                   0,              0.9931,                   1,               0.995,             0.59593,            0.025463,            0.004817,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.025513,            0.010402,                   0,             0.99196,                   1,               0.995,             0.80316,            0.018829,           0.0045611,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.022388,           0.0088048,                   0,             0.97325,                   1,               0.995,             0.71784,            0.021715,           0.0043574,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.022912,            0.009653,                   0,             0.99331,                   1,               0.995,             0.75489,            0.017953,           0.0042016,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.020357,           0.0081006,                   0,             0.99354,                   1,               0.995,             0.78544,            0.017777,           0.0040816,                   0,             0.00241,             0.00241,             0.00241
                  25,             0.01975,           0.0082171,                   0,             0.99374,                   1,               0.995,             0.77244,            0.015019,           0.0039943,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.017224,           0.0081556,                   0,             0.99334,                   1,               0.995,             0.82557,            0.015539,           0.0038504,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.017713,            0.007374,                   0,             0.99392,                   1,               0.995,             0.82339,            0.015121,           0.0036935,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.016502,           0.0080619,                   0,             0.99369,                   1,               0.995,             0.89992,            0.013191,           0.0036262,                   0,             0.00109,             0.00109,             0.00109
                  29,             0.01555,           0.0077055,                   0,             0.99372,                   1,               0.995,             0.88149,            0.011843,           0.0035111,                   0,             0.00076,             0.00076,             0.00076
